text,intent
hello,greeting
hi,greeting
hey,greeting
hey there,greeting
hello there,greeting
hi there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
is anyone here,greeting
are you there,greeting
hello buddy,greeting
hi buddy,greeting
hey buddy,greeting
hello friend,greeting
hi friend,greeting
hey friend,greeting
yo,greeting
yo there,greeting
hello chatbot,greeting
hi chatbot,greeting
hey chatbot,greeting
hello assistant,greeting
hi assistant,greeting
hey assistant,greeting
morning,greeting
evening,greeting
afternoon,greeting
hey man,greeting
hi man,greeting
hello man,greeting
hello bro,greeting
hi bro,greeting
hey bro,greeting
sup,greeting
sup there,greeting
hello hello,greeting
hi hi,greeting
hey hey,greeting
hello everyone,greeting
hi everyone,greeting
hey everyone,greeting
greetings,greeting
greetings there,greeting
hello again,greeting
hi again,greeting
hey again,greeting
good day,greeting
very good morning,greeting
very good evening,greeting
very good afternoon,greeting
hey whats up,greeting
hi whats up,greeting
hello whats up,greeting
hello team,greeting
hi team,greeting
hey team,greeting
hello system,greeting
hi system,greeting
hey system,greeting
hello bot,greeting
hi bot,greeting
hey bot,greeting
hello support,greeting
hi support,greeting
hey support,greeting
hello service,greeting
hi service,greeting
hey service,greeting
hello ai,greeting
hi ai,greeting
hey ai,greeting
hello there assistant,greeting
hi there assistant,greeting
hey there assistant,greeting
hello helpdesk,greeting
hi helpdesk,greeting
hey helpdesk,greeting
hello sales,greeting
hi sales,greeting
hey sales,greeting
hello online,greeting
hi online,greeting
hey online,greeting
hello platform,greeting
hi platform,greeting
hey platform,greeting
hello app,greeting
hi app,greeting
hey app,greeting
hello interface,greeting
hi interface,greeting
hey interface,greeting
hello again bot,greeting
hi again bot,greeting
hey again bot,greeting
hello quick question,greeting
hi quick question,greeting
hey quick question,greeting
hello need help,greeting
hi need help,greeting
hey need help,greeting
hello just checking,greeting
hi just checking,greeting
hey just checking,greeting
hello someone,greeting
hi someone,greeting
hey someone,greeting
good to see you,greeting
nice to meet you,greeting
pleasure to meet you,greeting
how are you,greeting
how are you doing,greeting
how is it going,greeting
how are things,greeting
what is up,greeting
whats up,greeting
whats going on,greeting
hello there friend,greeting
hi there buddy,greeting
hey there friend,greeting
good to connect,greeting
nice to connect,greeting
glad to connect,greeting
hello once again,greeting
hi once again,greeting
hey once again,greeting
warm greetings,greeting
sending greetings,greeting
good afternoon assistant,greeting
good morning assistant,greeting
good evening assistant,greeting
hello dear,greeting
hi dear,greeting
hey dear,greeting
hello everyone here,greeting
hi everyone here,greeting
hey everyone here,greeting
hello there team,greeting
hi there team,greeting
hey there team,greeting
greetings assistant,greeting
greetings bot,greeting
greetings chatbot,greeting
hello and welcome,greeting
hi and welcome,greeting
hey and welcome,greeting
good day assistant,greeting
good day chatbot,greeting
hello checking in,greeting
hi checking in,greeting
hey checking in,greeting
hello just joined,greeting
hi just joined,greeting
hey just joined,greeting
hello again everyone,greeting
hi again everyone,greeting
hey again everyone,greeting
hello good people,greeting
hi good people,greeting
hey good people,greeting
hello my friend,greeting
hi my friend,greeting
hey my friend,greeting
hello respected team,greeting
hi respected team,greeting
hey respected team,greeting
hello admin,greeting
hi admin,greeting
hey admin,greeting
hello dear assistant,greeting
hi dear assistant,greeting
hey dear assistant,greeting
good to be here,greeting
nice to be here,greeting
happy to connect,greeting
glad to be here,greeting
hello from me,greeting
hi from me,greeting
hey from me,greeting
hello once more,greeting
hi once more,greeting
hey once more,greeting
good afternoon everyone,greeting
good morning everyone,greeting
good evening everyone,greeting
hello world,greeting
hi world,greeting
hey world,greeting
hello there bot,greeting
hi there bot,greeting
hey there bot,greeting
hello again assistant,greeting
hi again assistant,greeting
hey again assistant,greeting
bye,goodbye
goodbye,goodbye
see you,goodbye
see you later,goodbye
talk to you later,goodbye
bye bye,goodbye
ok bye,goodbye
alright bye,goodbye
i am leaving,goodbye
i have to go,goodbye
catch you later,goodbye
good night,goodbye
have a nice day,goodbye
see ya,goodbye
bye for now,goodbye
talk later,goodbye
ending chat,goodbye
exit,goodbye
quit,goodbye
close chat,goodbye
logging out,goodbye
signing off,goodbye
thanks goodbye,goodbye
